Run,NF,fb,xb1,xb2,xb3,xb4,xb5,xb6,xb7,xb8,xb9,xb10,xb11,xb12,xb13,xb14,xb15,xb16,xb17,xb18,xb19,xb20,xb21,xb22,xb23,xb24,xb25,xb26,xb27,xb28,xb29,xb30
1,57124,9.513201337796318e-11,8.120423686246707e-07,-2.2484956950814404e-07,3.168441594442395e-06,1.3488584530317043e-06,-3.726075786219443e-07,2.355974124940602e-06,-4.697554011855527e-06,9.08585728911407e-06,-5.01241791861053e-06,-9.254612451452763e-06,-8.897500878376345e-07,-1.916754506022865e-06,-4.128120212162136e-06,1.163537149060058e-05,-1.0506281398116786e-05,-1.0557088433409293e-05,-8.968516297754535e-06,1.6011025606756248e-05,5.070383639141848e-07,8.85192572286412e-06,-5.986229105134409e-06,-1.547766120388424e-05,-3.4423976481549935e-05,-1.1408783280125182e-05,-1.971405037103481e-05,-2.6455591636498635e-06,-1.560861648527467e-05,6.182078808213871e-06,1.395835301008597e-05,1.4589389738361359e-05
2,65046,9.224432329091314e-11,-8.952752155839074e-07,5.4529438828807225e-06,5.9842024737028385e-06,-5.66567492295675e-06,5.5620171034415305e-06,9.616154809570757e-07,1.1054030308463343e-05,-4.0075694953479717e-07,-8.202853713484543e-06,-1.8883370145582345e-06,2.3518928803262922e-06,-8.126497971092651e-06,-6.469159590229638e-06,-9.182076780457424e-06,-1.9271918327486466e-06,-5.26011511361316e-06,2.3330506173891503e-05,-1.5233807765486496e-05,3.4794582554711453e-06,-9.62684321628568e-06,-1.0677261079401655e-05,9.248237310498465e-06,-1.2018413276462684e-05,1.9012131763859704e-05,3.033276716541272e-06,-5.896304553416358e-06,1.5421235998775962e-05,1.0096361024987327e-05,-6.214081312770111e-06,8.38303991923195e-06
3,63479,9.909384424133805e-11,3.392826449675381e-07,1.633679494177506e-06,4.6433635250660745e-06,-5.0271372907338804e-06,7.427358858346359e-07,-3.252146820059089e-07,-6.338534510113208e-06,-2.4834597883984505e-06,1.6297037834583783e-06,-8.309209917736396e-07,2.724692893216222e-06,-1.010114422492746e-05,4.3309034203746745e-06,1.2649273282598684e-06,-1.4984321549206006e-05,-4.0482333000097965e-07,-9.078643620682924e-07,-1.2378125890652994e-05,-2.404382273818431e-06,-2.270562610473817e-06,1.0510515549248848e-06,2.0978814979541062e-05,-4.055485113212754e-05,-2.3636715519519436e-06,-1.6609955364566107e-06,1.2932065278397292e-05,6.415479298613673e-06,2.4955267422274396e-05,2.1941622991455724e-05,-4.458316032054296e-06
4,63322,7.95251642315975e-11,3.028523880267903e-06,-2.708094016986152e-06,-5.196306774075253e-06,4.992670097851829e-06,-1.71758252537667e-06,-4.339516714175058e-06,1.8652932241798756e-06,1.0846368824806848e-06,5.5007049652401514e-06,-7.897226692831057e-07,2.4837322703830584e-06,-2.3663233433833048e-05,9.112965071002535e-07,8.585092843687623e-07,4.34906784668304e-06,1.0279028783489641e-05,7.324006042045336e-06,-4.917462724144099e-06,1.5089861224003297e-05,-1.3450813411293918e-05,-6.8299479275387286e-06,-3.6198144809580405e-06,5.164137612328546e-06,1.844264621855783e-05,1.6291790683440996e-05,8.398919506616927e-06,-1.3555744437631426e-05,-8.850937793272337e-06,2.2444356099723175e-06,-8.689531158640942e-07
5,58899,9.058154226693205e-11,2.676122484581749e-07,-3.490310576510162e-06,8.041153850414249e-07,-3.288299712078272e-06,8.634880102464095e-06,-7.532265762884453e-06,-1.53244499604527e-05,-1.1793851430679897e-06,2.869976030619354e-06,-2.5922191004863737e-06,-2.079439320118955e-06,-6.996743539557043e-06,-2.9026397128976517e-06,-2.9370033256264436e-06,-5.7005547331350155e-06,-1.4619601640135918e-05,7.292220069244273e-07,3.1523976480193247e-06,1.3765787485759535e-05,-1.0844726980892409e-06,-2.332943762447238e-07,1.4645353568575459e-05,-8.679976628544006e-06,8.197779663577368e-06,-8.274481625505207e-06,1.1864660171632769e-05,3.521210376385844e-05,6.213162119186778e-06,-1.1653532741491555e-05,-9.587014384174663e-06
6,65283,9.651091037454762e-11,-2.4736465559155756e-06,6.257369183612249e-07,4.921445139639304e-06,-4.317889003772615e-08,5.556400695425201e-06,-7.125822695634068e-06,-2.046271403129983e-06,-9.456895346373187e-06,9.278787655851485e-06,-3.26262253960271e-07,-8.751958331107228e-06,2.3689415036998845e-06,-1.5683367892669642e-05,1.8414878273898863e-05,-1.5883744358427804e-05,-7.70264862648191e-07,8.388810750557032e-06,4.982711102308472e-06,1.0239358015353784e-06,-3.2317929691424264e-06,4.6498002772449645e-06,-1.814208887903585e-05,-4.825580257007057e-06,1.1462247560480968e-05,-3.6463375542169707e-07,-4.979411293946781e-06,-1.549927243601343e-05,3.57544910729075e-06,-2.3287658225000857e-05,2.195071398243603e-05
7,66348,8.534029038997915e-11,-4.547789413196716e-06,1.0421705888234746e-06,5.946089382427267e-06,-6.250680197391226e-06,3.851733903523654e-06,3.347669688895552e-06,-9.439005526646343e-06,5.729414624501386e-06,1.68729390078589e-05,-3.1068910292806934e-06,-1.040975423373203e-05,3.514140261515192e-06,8.187457860364119e-06,4.495527924604579e-08,7.514768198937614e-06,1.0005233582667487e-06,7.0036834244842635e-06,-1.2204002512846932e-06,-1.3091354850335423e-05,2.1589061787218516e-06,-2.049177803111482e-05,2.512719845749578e-06,-1.3420576880482962e-07,1.76297900309212e-05,6.621796215369828e-06,4.5416657167803865e-06,1.3127576225732848e-06,5.383473802527745e-06,4.3746334525724065e-06,-9.542705226644475e-06
8,58835,9.527567623734967e-11,1.0769633566286472e-06,-1.7457822191377787e-06,-2.2868805883777034e-06,6.712535287741481e-07,3.909194660274544e-06,-7.241678101053633e-06,-2.454956763867005e-06,3.844035645952218e-06,4.269949444899201e-06,-6.075163212014061e-07,1.0313864607060712e-05,-1.7107572057496954e-06,-1.760009998095996e-05,6.286265696579164e-06,6.144276459956652e-06,1.9066522410877219e-06,-1.795063852607967e-05,5.643009458231088e-06,1.528880829488663e-05,-6.4517587383640275e-06,2.9659608099871485e-05,-1.4545501095285848e-07,1.1160124428516757e-05,-1.4162088616667597e-07,1.9838026452210257e-05,1.125392016487487e-05,1.2812054069403108e-05,2.48426633889035e-06,2.3300539529289166e-05,-3.1905690451397255e-06
9,70193,9.968470493504356e-11,-3.500150590997802e-07,-4.326316840421048e-07,2.7499470168147716e-06,-2.359521100638175e-06,2.154356678999858e-06,1.5033557256595384e-05,8.142102230549597e-06,1.8921189771419464e-06,-3.5306148830628236e-06,1.0478430264385105e-05,1.4205916961371451e-05,-5.392206039690045e-06,-1.2005204915867704e-05,-8.912827541221057e-06,2.677534450115258e-07,-2.773026782058466e-06,1.1175209040502878e-05,6.327542969840854e-06,-3.9684378012114095e-06,-3.950666369298366e-06,-2.1332987711242024e-05,-7.782535429160645e-07,-3.748877083634558e-06,-8.17467940559198e-06,2.0924143590853337e-05,1.6503589619442024e-05,1.4078448105410393e-05,1.9079130574847208e-05,6.098278617681576e-06,1.6300893078365306e-05
10,61669,9.997735972433475e-11,-3.816584554961248e-06,4.4493087440112997e-07,3.921739600502256e-06,-5.3709158368245425e-06,-3.933434422944538e-06,-1.0520676274768165e-06,-3.527703191896319e-07,-3.899220694761802e-06,1.0150303241621703e-05,-9.702589477428353e-07,-5.066977937123889e-07,-1.5136698418663798e-05,5.155259949902928e-06,7.861802808446197e-06,1.1703306183278451e-05,6.5539362574881076e-06,-1.485487492329045e-05,-1.285216968746218e-06,-2.158249865839762e-07,2.434908157572112e-05,1.749707646436129e-05,1.9905846090849536e-05,-1.5898140989232112e-05,4.527443734432001e-06,2.9063525633463228e-06,2.6264502722911983e-05,-2.2552408841849857e-06,8.793269619920757e-06,-2.274005388589862e-06,1.0393115423705702e-06
