Algorithm,Function,Dimension,Success_Rate,Mean_NF_SuccessOnly,%SD_SuccessOnly,Best_Fit_Overall_Mean
M13_new,Six-Hump_Camel,2,100/100,1928.1,13.291361928567277,4.816854248801405e-11
M13_new,Himmelblau,2,100/100,2535.06,15.309390766044139,5.283338823421858e-11
M13_new,Himmelblau_MD1,2,84/100,2489.904761904762,10.99265081674374,0.034137250911219434
M13_new,Himmelblau_MD2,4,100/100,5951.06,12.20133891315997,6.872703441195538e-11
M13_new,Himmelblau_MD3,4,56/100,6038.125,11.557780143772764,0.14205141629837145
M13_new,MD4,2,100/100,1010.71,23.400461266655434,3.5840880385656e-11
