Run,NF,fb,xb1,xb2,xb3,xb4,xb5
1,200000,5.550549884549696,0.0072135725418664975,-0.019054293687589485,-0.932732017371583,0.8836260137152994,-0.04397702174804599
2,200000,6.9239298494681805,0.014379193313473749,0.041767434185507823,0.9977849435103365,-2.0313537873953518,0.9609855206658471
3,200000,2.285387468676994,0.053061129213964664,-0.0413423273963114,-0.9591816354558752,-0.012303756618479057,-0.024372379473465246
4,200000,2.243835916246816,-0.04729038287444188,0.029358981085161846,-0.04215536325333934,0.0002925078875932168,1.0330708323480802
5,200000,6.359257866653223,-0.028042784361186405,-0.9734044411926595,0.025795434329563653,-1.990813452901973,1.002114674313636
6,200000,4.190265715747216,-0.991288477853675,-0.03290520350153926,1.066086205255834,0.01735470020341391,0.06910036141123388
7,200000,2.4506157782495706,-0.0033473684128553904,0.019367284755339425,-0.016097280248879173,0.07395934641023337,0.08044124891399806
8,200000,6.5481705549541545,-1.0806362318945424,-0.9748959333752392,0.9874790972716226,-0.93672127538151,-0.04425340451287915
9,200000,3.6271460031313723,0.00627388857558842,-1.0286643956960062,0.026789507723003536,0.03739428070096922,1.0659014355353573
10,200000,5.386228804376685,1.0219645631583534,1.0843548545047932,0.010729056555273016,-0.05882314045206481,-0.9914940809706387

Status,Full Max runs
