Run,NF,fb,xb1,xb2,xb3,xb4,xb5,xb6,xb7,xb8,xb9,xb10,xb11,xb12,xb13,xb14,xb15,xb16,xb17,xb18,xb19,xb20,xb21,xb22,xb23,xb24,xb25,xb26,xb27,xb28,xb29,xb30,xb31,xb32,xb33,xb34,xb35,xb36,xb37,xb38,xb39,xb40,xb41,xb42,xb43,xb44,xb45,xb46,xb47,xb48,xb49,xb50
1,124174,9.371747822228826e-11,-1.5864637289423933e-11,2.7580128171255267e-11,3.08269385822844e-11,-5.435697055290242e-12,1.266652826549395e-11,2.1363609579092203e-11,3.678112774555841e-11,-5.4768929968155e-12,-1.2262497938118475e-12,-3.8930467628303064e-11,-9.50165600335852e-12,2.4631639449988434e-11,4.372993334936247e-12,-2.877882537949413e-12,2.039195320573912e-12,-3.4364843970670705e-11,-1.204922783322234e-12,-1.7706782355723477e-11,-1.6271773510290184e-11,-1.7937711833199833e-11,3.019783105069546e-11,1.4088495544942954e-11,-2.212339422741051e-12,-2.0250634834783745e-12,6.083250145919224e-13,8.084749406215934e-12,2.0335744963993707e-11,4.593230163030959e-12,-2.8556125810684727e-11,1.8507879064049166e-11,5.744738542378207e-12,1.0591666846562974e-11,-2.0369669596450025e-11,-9.848227005498222e-12,-9.172680153867418e-13,2.5245332022128578e-11,4.952418974333949e-12,3.5635789579740575e-11,-7.694438889547182e-11,-1.8669012973818477e-11,2.6163680743428997e-11,2.0036733788991788e-12,3.554482662644642e-11,-2.138078898613658e-11,-4.3047495132654235e-13,-4.8930728494120455e-11,-2.1651241512605412e-13,3.55380466168475e-11,2.871794895543716e-11,-2.4458535097603935e-11
2,121485,9.626477392998822e-11,2.625089936751822e-11,-3.49658931430281e-11,-1.8287588243462822e-11,-1.690099393548397e-11,-1.9518608517793265e-11,-3.054351095030805e-11,-2.7378996066951894e-13,2.5168083804478163e-12,-2.2955035449155697e-12,2.0141639753453107e-11,2.6717462497846408e-11,-2.445789880146357e-11,-4.006390848833614e-12,4.182986866181775e-12,4.023154096189652e-11,7.448101835039618e-12,1.8547830717079426e-11,-3.782423414120104e-12,3.710481181995703e-11,6.963488062110461e-11,1.4254214887184022e-11,1.2086650899779352e-11,-2.7304685935527513e-12,1.232817747053501e-11,1.541470965212593e-11,-2.515419830488511e-11,1.837895448042429e-11,-5.3095833924344997e-11,2.6600859354250785e-11,1.1953350157756891e-11,-1.8565407944034187e-11,5.157840027236471e-12,-6.3910366029679756e-12,2.7941951620903056e-11,3.679562991421654e-11,-2.3871765917219263e-11,-9.190022481185589e-12,1.3147034037739112e-11,-2.99449217698174e-11,3.0043553099397476e-11,2.1356524879143483e-11,1.0789737755799675e-12,3.9332477589411006e-13,6.508245319910881e-12,-6.197846776032293e-12,-9.812150603063658e-12,-4.226751657798414e-11,-3.9413246198292346e-11,1.75513715361253e-11,1.583416808967409e-11
3,123233,9.769651754254483e-11,-2.1913084698313882e-11,-3.318046519033855e-11,-2.582331287137708e-11,8.20149985598958e-12,5.0170251251568956e-11,-5.994228109201099e-11,-9.516560886096996e-12,5.063033435777656e-11,-3.965444180631193e-11,-3.2063049160994863e-12,3.3650181164251835e-11,1.2480781545052393e-11,-3.8506862797227636e-11,-9.385673964955747e-12,-4.4748715756917696e-11,2.6138282639139088e-11,-2.575562589569594e-12,-1.615496065478997e-11,-2.474935629919374e-13,1.3964376807723714e-11,-3.139746631274621e-12,-1.0594977565889194e-11,3.802374692770441e-11,-4.203404327132346e-11,1.2484674235796238e-11,1.75124953090333e-11,2.273716977045486e-11,4.5668444629232585e-12,1.758808419681297e-11,1.2306138930368448e-11,-2.331600286001821e-12,-8.630027158386873e-12,2.0501849358315162e-11,2.9473324182051624e-11,1.2253467752650742e-12,-3.1819001688038964e-11,-1.2637727045559571e-11,3.8325819092143385e-12,-8.018880638183801e-12,5.6522697510096785e-12,-9.772341253304452e-12,4.7262995037517664e-12,-2.0376143796369167e-11,2.2146352759804134e-12,3.055185628238848e-11,-4.1588666560986344e-11,-4.249949144933625e-16,-1.3076442034210068e-12,-1.8568125910316058e-11,1.264539934479531e-11
4,120592,9.582423743381696e-11,-1.37897797411854e-11,3.1459253052990242e-12,-1.6350980785079766e-11,-1.6371619462227578e-11,2.567247504276997e-11,-2.817346566484386e-11,3.890090444352687e-12,-2.671938978659503e-11,-1.20018702322099e-11,3.725162528613382e-11,6.517439771475632e-12,3.746724643432912e-11,2.5912578607163284e-12,3.5802332573972113e-11,-1.0692177176963392e-11,2.976220654118278e-11,7.640442962182782e-13,-7.587691827884842e-12,1.3298522394812116e-11,1.1114454448240165e-11,4.921716181436144e-11,-2.022187236039967e-11,-9.508035078025514e-12,2.6188408889045406e-11,-6.660600805112807e-12,1.43560439690282e-11,7.334313737474482e-12,2.9786814381288713e-12,3.6313347788994865e-12,2.704895789281374e-11,2.133363604435463e-11,2.4614351403868253e-11,-3.9753715223759824e-11,-2.1361868811317172e-11,-1.734266652907527e-11,1.2234403309089867e-11,-2.2635563323878048e-11,-2.9657989408905776e-11,-1.6125457247965546e-11,3.807701291979604e-11,-3.5647915694243905e-11,5.556739417240031e-11,-3.5017009434125037e-12,-8.511288054773954e-12,-1.8871877793822667e-11,-3.031640745569546e-11,-3.2262304098825606e-11,-2.752839979226545e-11,-2.8692498474113355e-12,-3.621840977968151e-11
5,122010,9.504619313815965e-11,-3.170399365003719e-11,2.207451284581921e-11,1.204449973805178e-11,3.0328264885129984e-11,-3.9860500314245103e-11,-4.082990398494578e-11,2.4854068314207237e-11,-1.0971690184470288e-11,-1.9705513148999007e-11,1.7336058711268931e-12,4.404641119228976e-11,-1.271068945734167e-11,9.103727014727113e-12,2.3529279347714197e-11,2.7396411232038514e-11,-1.1006679398632747e-11,1.6536516681942684e-11,-2.3334374917653353e-11,3.0080239055488804e-11,4.8944446767591454e-11,5.802690513171842e-12,9.02284041123584e-12,1.9197673476632212e-11,1.8790846395771137e-11,4.8615049502805407e-11,8.942149411117647e-12,4.394449422213945e-12,7.108789463162666e-12,-2.9877861646407376e-11,2.901971278381356e-11,-9.178582136864892e-12,2.6193850104075588e-11,2.26536002321945e-12,-2.0726999675348398e-11,1.5936243082384004e-11,-1.9657042794758285e-11,-1.9171754746992956e-11,2.176124305840689e-11,-1.5820769684852137e-11,4.619347243570641e-11,-1.0517424897226285e-11,1.0752329630780298e-11,-2.7041071341046756e-11,1.2287679958794224e-11,2.544959509014534e-11,1.3926995446398413e-11,-3.6226438911596616e-11,-9.57634961946681e-13,-1.0228316458111652e-11,5.96543934668293e-12
6,118958,9.834311143208652e-11,-7.813811233833653e-12,1.1173724990059037e-11,3.079650939514878e-11,-1.243851137531928e-12,-2.1316213023853248e-11,2.7213547189892216e-11,4.73664544884457e-11,3.993872239613047e-11,-3.939610377418633e-11,3.173822684884263e-11,-5.380863633765428e-12,1.856866686733463e-11,-1.0930992981118584e-11,1.5815324770566677e-11,-9.854532281803131e-12,5.1433212537493e-12,-4.611381012625126e-11,1.6213753578649567e-12,-3.0229356574804717e-12,2.948358208682524e-12,-3.096311299775619e-11,2.3060946172622916e-11,-1.459843529668407e-12,2.2655499823196803e-11,-8.57297451257366e-13,-1.3436055173218934e-11,5.095959507331687e-12,-4.0610137319475574e-12,9.069641688337261e-12,3.5229679075969165e-11,1.242738137446048e-11,4.679928038874281e-11,-6.040735651558013e-12,5.208909698339886e-11,2.237088203708586e-11,-2.5468019232292366e-11,-4.879689042200948e-11,-2.6615385440779962e-11,1.745509142297427e-11,-7.280251348887362e-12,7.678820846139993e-13,2.556373632187798e-11,1.6247705557508167e-11,-3.4428028515650555e-11,-1.4575822119570103e-11,3.61341695912556e-11,-6.3497151858549334e-12,3.4553034247107096e-11,1.8176528269269935e-11,7.0212349551982364e-12
7,122759,9.264455869129051e-11,-2.6926779063249706e-11,-6.044680072121922e-11,-3.664081371066864e-12,-2.5935812730033028e-11,-1.6185925639031646e-11,-2.3888531097637717e-11,-5.6282050931130125e-12,1.500276476989549e-11,3.166274412596012e-11,-3.9369506063234476e-11,-1.3091619107281903e-11,4.951588454917722e-12,1.7998213055530223e-11,3.341219348297428e-11,-1.6638276966876994e-11,-2.8339909862882847e-11,-7.241828831489701e-13,-9.826325101953902e-12,-1.1583115815935808e-11,-1.715954684809102e-12,2.5625737479751954e-11,-3.7606450977715295e-12,1.678439339281318e-12,-4.684730700545287e-11,4.466409599819219e-12,-2.7346545579431977e-11,1.669921487609678e-11,4.416747646575457e-11,4.988404266866125e-11,-3.7100876317679504e-12,3.265218129751234e-11,-1.3636915154662826e-11,3.750318388219786e-11,1.9074812574664276e-12,-9.992457054911224e-12,1.463550901597004e-11,-5.587726083717337e-12,-1.2457093769983923e-11,-2.3798547410361257e-13,2.153470109112952e-11,-1.0182341331805103e-12,2.910436313606406e-11,-1.0457966790705519e-11,-3.2202704909092353e-11,1.788369113739005e-12,-1.6238675588898446e-11,1.0964293692603245e-11,-1.89004029378306e-11,2.0413670231295977e-11,-3.807114429192814e-12
8,122247,9.939826739469027e-11,-6.079888721355099e-12,-3.4145485439390746e-11,-1.0661474060398799e-11,-5.001900427106412e-12,7.759687965545519e-12,2.6348487523390707e-11,-1.494648024728483e-11,-4.2503382277915854e-11,1.3309032424540912e-11,4.683073808037887e-11,-4.081760115414677e-12,2.2633610411867868e-11,3.2008674952871312e-12,2.4323833905894385e-11,-1.997565716773633e-11,2.1922090557599263e-11,-4.620399731182224e-11,-1.0930542330177453e-11,3.47917684000897e-11,2.9110920151979546e-11,1.0933603937076746e-11,2.4683755782850826e-11,6.1955518864093156e-12,3.38948580146093e-11,2.5009075139773415e-11,-8.58705481584462e-12,3.725772792673208e-11,1.1146018056032359e-11,4.046294303734404e-11,1.2170322518463305e-11,5.257424523514237e-12,7.823191109410716e-12,1.1007505377641173e-11,-6.046630829274634e-12,-1.6089644520230373e-11,-1.0382074235713401e-11,-7.159509201104452e-11,1.9668245174992446e-12,-1.82068384684348e-11,5.916827720352512e-12,6.930717469960819e-12,-3.1080871945895897e-11,3.853679420719009e-12,-4.0818368799437966e-11,1.430799323319276e-12,5.908693441993566e-12,5.278812598096927e-11,-9.6817085828985e-12,-1.636035613367094e-11,1.2324222338285428e-11
9,122352,9.918510457396224e-11,4.1626780396148355e-11,9.028182407743208e-12,-1.3716586116123619e-11,3.389474010871112e-12,2.809805148948589e-13,-1.0688927548270547e-11,-1.8809582590839223e-11,1.7992069646338613e-11,5.065156524574758e-12,-3.5984307714172244e-12,4.372204830886174e-12,-2.467057481620919e-11,-9.284311465211514e-12,-3.735287688875636e-12,1.351808915834483e-11,1.696139047774292e-11,-1.2313832222953001e-12,-2.5007293561300744e-11,2.0150915954179042e-12,-3.051394896926671e-11,-1.846466590785951e-11,-3.666554196828538e-12,-3.5636887494596555e-11,-3.0625171669055306e-11,-8.35729222711472e-12,3.388930107566719e-11,-4.791830796652549e-11,1.9535608619065743e-12,5.611882025182788e-13,-1.4864050752292365e-11,3.097339753144037e-11,-2.478548212695467e-11,-1.2623524257885197e-11,-3.584484068223083e-11,8.072170893178662e-12,2.099364470490554e-11,-1.4693209738590035e-11,5.168170279361522e-11,1.2863968243808814e-11,8.674633762922667e-12,7.207735366502592e-12,-2.780977951441531e-12,1.714988839126751e-11,-1.851607022374659e-11,4.609754123640369e-11,-9.196754324867505e-11,-4.0112452138708067e-13,-9.440324501194089e-12,3.475378814933911e-12,-2.8324164834037308e-11
10,122472,9.500711328769285e-11,7.072981566529381e-12,-8.470457878901524e-12,7.710240512490568e-12,-3.1004927344879686e-12,-3.4780642070579455e-12,-5.942239028092037e-12,2.6292923927040652e-11,-2.987480129522093e-11,6.057409755754232e-11,-1.875567565068951e-12,1.566549162200954e-11,3.5902315516004545e-11,-3.87237614788984e-11,2.1061487583620217e-12,-2.5999741642649315e-12,-2.8256102694432735e-11,3.6840639409241093e-11,3.769515676489565e-11,2.4683838435670963e-11,2.188133962728329e-11,5.252010704032806e-12,3.3359056521158275e-11,-1.178039359859351e-11,1.5358179935805287e-11,2.3491575952752367e-11,-2.01736379299269e-11,-3.387460894614546e-11,1.7635124000837937e-11,-2.6478356788786144e-12,-6.214127735483674e-11,-3.0392966665693506e-11,-1.8113378965952069e-12,3.3034235087958525e-11,-9.79483683210357e-12,-1.5030560973660792e-11,4.008925762883639e-11,1.692963159848427e-11,-2.224937388649211e-11,-1.582230579022768e-11,-8.682098399318761e-12,4.036563483108229e-12,-6.0015864428851304e-12,9.012583401338826e-12,2.189825194879917e-11,-1.6770973894108956e-11,4.440605623218624e-12,2.0448384903392836e-11,4.809408955114355e-12,-1.6051138120622443e-11,2.3122794060312437e-11
