Run,NF,fb,xb1,xb2
1,3153,8.852126692034763e-11,3.5844284972571367,-1.848129003540929
2,2222,3.357998222675521e-11,3.5844291303658156,-1.8481270222196169
3,2747,2.2575755429466196e-11,-2.8051174378232937,3.1313120374131227
4,4300,3.6593573295381e-12,2.999999784934876,1.9999997651330261
5,2513,9.499879728704231e-11,3.0000009457229684,1.999997455972148
6,4543,7.798146509126564e-11,3.5844286332769406,-1.8481243565522187
7,5812,4.6199308728435604e-11,-2.805116957291831,3.13131215552351
8,3062,4.157352580760752e-12,3.000000246596688,2.0000002199645133
9,2269,3.252725289318361e-11,2.999998981137407,2.000000714279666
10,5760,7.218704143153793e-12,3.5844281098307933,-1.8481259196861535

Success,10/10,100.00%
Mean NF ,3638.10
Std NF ,1303.54
per sd ,35.83 %
