Algorithm,Function,Dimension,Success_Rate,Mean_NF_SuccessOnly,%SD_SuccessOnly,Best_Fit_Overall_Mean
M2_new,Six-Hump_Camel,2,99/100,31835.757575757576,10.70643877697833,4.424836941296917e-11
M2_new,Himmelblau,2,2/100,37180.5,0.6295029506670089,9.642528275079211e-09
M2_new,Himmelblau_MD1,2,1/100,37366.0,0.0,1.771821725634792e-08
M2_new,Himmelblau_MD2,4,0/100,,,3.0716091522896807e-06
M2_new,Himmelblau_MD3,4,0/100,,,3.85193004985786e-05
M2_new,MD4,2,100/100,1711.39,43.21549496337509,3.242788526729841e-11
