Run,NF,fb,xb1,xb2,xb3,xb4,xb5
1,40020,7.974398918975112e-11,1.2303441469193354e-05,1.5384206385154586e-06,-4.769147706773253e-07,-3.2198199752418916e-06,-4.56619799579079e-06
2,47678,8.982159460657613e-11,1.6951836198375456e-06,-4.827829713836403e-06,9.353805342768998e-06,-2.1595999287547336e-07,-2.603302531628552e-05
3,47628,5.395772717520231e-11,-7.735056803758711e-06,-7.219934803122157e-06,6.982695263671292e-06,-1.1044299050573267e-06,-5.181017987747747e-06
4,50136,5.666478397614583e-11,-4.12191447656138e-06,1.0865187840535402e-05,-1.0529334390888982e-05,-9.678637508661578e-07,1.4803756343360336e-09
5,42328,4.257161290155409e-11,4.207705032091826e-06,1.0028930658176422e-05,1.8445175247184105e-06,-7.980507148244818e-06,-4.413051949091885e-09
6,42134,5.973410655002453e-11,-1.003585949491334e-05,-1.3981448977962803e-07,-6.9200039565194465e-06,1.8494724351384567e-06,-3.0347842487848635e-06
7,38971,5.825451232510659e-11,-8.088460442562839e-06,7.2324485085967286e-06,-1.0428466071084039e-06,-1.8308883922954154e-06,1.086526654638811e-05
8,44367,7.869482843148035e-12,2.4440544676219942e-06,-4.961597988545788e-07,8.826794139733465e-07,6.084551856237063e-06,-7.243547439883367e-07
9,43507,9.550626955956432e-11,-2.5565054771952642e-06,-5.149955421107329e-06,-2.1129086461393608e-05,9.40461261075617e-06,1.949414657333354e-07
10,42034,6.86288803564139e-11,1.0853739183478623e-06,9.816414134437391e-06,-6.287094809558295e-06,1.6217962753252535e-06,1.9210791807793595e-05

Success,10/10,100.00%
Mean NF ,43880.30
Std NF ,3403.66
per sd ,7.76 %
