Run,NF,fb,xb1,xb2,xb3,xb4,xb5,xb6,xb7,xb8,xb9,xb10
1,28044,8.591416467140789e-11,-2.767544375566276e-06,1.4159523647616524e-05,4.0526107701252125e-06,3.656243059470971e-07,1.2536714008077313e-05,-6.441905094110829e-06,8.838307679750837e-06,-4.411841934344466e-06,6.3087642309598515e-06,-4.196747514712975e-06
2,31368,9.960021696286958e-11,2.690957512804921e-06,-6.674733606757047e-06,1.339756032221228e-06,2.651952018845657e-06,-1.0627965305267913e-05,2.66874540475574e-06,1.9045858147679996e-06,-3.297364457066408e-05,1.2043708074161858e-06,-7.933277673909772e-06
3,38452,7.759348719105219e-11,-1.210703017776591e-05,3.0623953455353655e-06,7.402313485908704e-07,-1.6669180182209562e-06,1.700344075312005e-07,4.19813553042111e-06,-2.1669939499495793e-07,-1.1311418170296412e-07,-7.215496880285298e-09,-6.721546008139387e-08
4,29171,9.67627089565326e-11,2.4399733941677042e-06,3.3375110158053992e-06,-5.068866664362994e-06,5.658771380665827e-06,9.910451935284557e-06,1.4675855726254914e-06,-3.7572185426439034e-06,2.1411530381126204e-05,-1.8820757061921947e-05,-2.145181610793845e-05
5,25579,8.345180102509175e-11,-2.0411437231889978e-06,6.191273295425535e-06,-1.4317134430843863e-05,-8.892755405907273e-06,5.894407810035861e-06,-6.848962154354507e-08,1.2418547630508697e-06,8.868123181256147e-06,4.004842741993903e-06,-1.9047821360959338e-05
6,31181,4.95600227523596e-11,-3.263563506085182e-06,1.0859913600200224e-06,-6.059196891063875e-07,2.7336961772054756e-06,-1.1975000667227278e-05,1.0750556575479668e-05,-2.70706932146997e-06,-8.957995272683312e-06,1.5329941284498976e-05,2.130156795575741e-06
7,35374,3.4825253791836985e-11,-6.61407227711897e-06,-8.217880599809526e-07,5.678094071864846e-06,1.4582284742894757e-06,9.498874807741376e-07,5.5893298511533e-06,-2.3082629484654364e-06,7.906717934685018e-06,-6.60803084165401e-07,1.3646643177467407e-06
8,29562,9.439937720401304e-11,-7.558108687270573e-06,9.362205929069998e-06,-1.2485382627197462e-05,5.557475147851418e-07,9.250621862533154e-06,8.409116104950365e-06,-2.3882605808572933e-06,2.216286883562664e-06,6.147038324611018e-06,-3.2001005254156816e-06
9,29947,7.890577080615913e-11,1.8364031462649452e-06,-1.9223831549412087e-06,1.3314273702239341e-05,-6.226953489313742e-08,4.511924942310683e-06,-1.0242592634862689e-05,-5.917912161845742e-06,2.7078507945586444e-06,4.931273333818618e-06,-2.506389456913807e-05
10,29836,8.334721801617206e-11,2.9321426224312678e-06,-2.7761840350286666e-06,3.1691549251914074e-06,6.670029922964679e-07,-9.552664330332894e-06,-3.276631911866504e-06,2.1342559093158434e-05,-2.0927755032165124e-05,9.638274535903168e-06,-6.786549302768685e-07
11,34062,7.555123193725422e-11,1.0144708097463114e-05,8.74955486261941e-06,2.945602760735821e-06,5.144761752149329e-06,-9.6676870315316e-07,-7.586307814785188e-07,2.2653883260031947e-07,4.753304816695171e-08,8.235612615630252e-08,1.2206706324345346e-07
12,34485,9.193534822315996e-11,2.8824531398723002e-06,-2.1575254671217155e-06,1.4131508140230252e-05,-8.050088356705152e-06,2.2266645818007006e-06,-1.381012423231522e-06,-2.113148215021841e-05,3.211151526822007e-06,-1.4574009129863172e-05,5.1832504108934405e-08
13,33782,7.025380277525528e-11,-1.104312339524012e-05,6.069307919944173e-06,-3.766342416253046e-07,-1.2749934947609617e-07,-2.6788871835354147e-08,1.1650627401465297e-07,3.660146547487554e-08,1.709814215409003e-07,1.0256321639111666e-07,8.587105848183276e-08
14,31622,8.128409056951114e-11,1.2361087869576345e-06,4.1072547598584115e-06,-1.2354795111899437e-06,3.1739263163019295e-06,-3.3587122774753677e-06,-2.667348782913182e-05,-1.1763275647035292e-06,7.746366006378254e-06,-1.3282950570358547e-05,3.0669384963409953e-06
15,34404,5.679767767219346e-11,-6.603009230320653e-06,2.9739538096800653e-06,7.077004054043912e-06,-9.241253958491337e-06,-9.646407518017148e-06,4.121590868914398e-07,1.837432914309374e-06,-4.180145164352453e-06,-7.373548580822966e-06,-1.8694814543006484e-07
16,35063,2.9385383015778643e-11,-2.4023677643197317e-06,-2.358814237580056e-06,-1.0007702908311134e-05,-9.524347502639865e-07,-7.0449748202755974e-06,-4.4124021590124315e-07,-3.5285583406344675e-06,2.46805826114637e-06,5.142794041853044e-06,-3.2555890207616696e-06
17,40701,4.303501999203263e-11,-8.281133308730344e-06,-2.2666016135451905e-06,-6.3776615597269135e-06,7.118697584366782e-08,2.551435726035388e-06,2.5548499730590102e-08,-8.417431887262185e-08,-5.122983390190872e-08,7.800147149589609e-08,1.7240879344350617e-09
18,42332,8.849720956050078e-11,-1.7295826286361018e-06,8.703052324455987e-06,1.291623831867049e-06,2.326050198344391e-05,-3.0646408561222636e-08,7.31260258807097e-08,6.203142801670693e-08,3.4877351610959814e-08,-3.0501200331279146e-08,7.097631070395112e-08
19,34371,3.489208921791942e-11,3.292977935751308e-06,-2.278190453823503e-06,-3.2709104850384016e-06,1.1342702167248064e-06,-1.59008116292754e-05,-3.2142040767870423e-06,3.767172449587387e-07,-2.65826305867987e-08,1.4826883858366707e-07,3.246079310429254e-08
20,37038,6.428957366466648e-11,-3.976139479606412e-08,8.823374651837989e-06,8.125834115075344e-06,1.2229330145268309e-05,3.447598730041457e-07,1.3388482009429353e-05,8.948396916872503e-07,-6.252593943349425e-08,1.0497182492354153e-07,8.335498528100881e-08
21,42724,8.211442636962829e-11,-2.928333162278586e-06,-1.7627373135327533e-05,5.368807475194172e-07,-2.4436972907718107e-08,6.432431734047682e-09,-1.1849813505277605e-08,4.956786933005956e-07,-8.182998943692659e-09,-1.947528212283748e-08,-4.119718137059063e-08
22,31478,7.2809203111035e-11,9.208944877548818e-07,-5.438310090248768e-06,-6.701877206194699e-06,1.4159067278731e-05,1.3857130027305681e-06,-7.052028021829237e-06,-1.644425704196735e-05,-6.373796106115506e-07,1.1598743669949358e-05,-4.7034617128038935e-06
23,33097,9.672240786073871e-11,-6.296060511967579e-06,-9.524595486986885e-06,3.1899488902992286e-06,-1.390099746876893e-05,8.195805590095942e-06,-8.924941804213548e-07,1.14859851418955e-06,-1.842883150893299e-05,1.205432666818158e-06,1.5823221082800962e-07
24,32518,5.84789994206858e-11,-4.503349625832172e-06,-7.792324313619535e-06,6.8409330340259965e-06,6.309716271540505e-06,2.6440018001840147e-06,-1.3445753403793282e-05,-5.298054111997385e-06,-6.328886277482183e-06,-1.3099385833298607e-07,-2.1508229797804458e-07
25,33549,6.4960259393842534e-12,8.389047687392769e-07,-2.4481850037043397e-06,-3.896736521280356e-06,2.469994255219168e-06,-4.292998329529876e-08,1.0033887373623858e-06,2.8282131992805157e-06,-3.2852596467390397e-06,-8.70032749228851e-08,4.4579946956416043e-07
26,34071,9.84959891425774e-11,7.921328541177525e-06,3.148335999980339e-07,-1.404001355856724e-05,-3.8470308493977084e-07,1.7570254817784212e-06,-3.36027346173287e-07,1.3237152100618642e-05,-1.827825828984111e-05,-2.3459732082130786e-06,-4.460711901327208e-07
27,38299,7.556366643513002e-11,-8.725179616935646e-06,1.1439287174108871e-05,-5.3149607847582715e-06,3.660727059478259e-07,-1.1891418166935501e-08,-8.139394600747538e-08,6.071162189842868e-08,-6.582378872049392e-08,-7.37360319728338e-08,2.8508796979873808e-08
28,38843,9.587219906848077e-11,-7.093964687042754e-06,-1.097250355593335e-05,8.059135463748883e-07,1.7954691499102124e-05,8.332059164315743e-07,-2.2313966495514002e-09,-4.319620262322407e-07,3.620925598384561e-08,1.3385528594429907e-09,1.0380770446627905e-09
29,34510,5.052169793628991e-11,1.480080254271144e-06,6.823827156724773e-06,3.054335523314423e-06,-9.626667367301706e-06,-3.848217890050062e-06,-1.6031561531952536e-07,8.060084232150201e-06,-2.9900268626445244e-07,1.7327042530547844e-06,1.9079385369090685e-05
30,31986,8.449885235961574e-11,1.2648556770049022e-06,-7.789446432483479e-06,1.8551215368423293e-05,-6.468683406425e-06,1.399922164276999e-06,5.766544147398857e-06,5.008464400393534e-06,-1.426392294661606e-08,4.292738599211102e-06,-7.37441208118291e-07
