Run,NF,fb,xb1,xb2,xb3,xb4,xb5,xb6,xb7,xb8,xb9,xb10
31,28373,9.153544588968998e-11,7.401986356486736e-06,2.287983518504901e-06,5.898970442666137e-06,-1.6510023483724544e-06,-1.8230943253839965e-06,9.699763026896871e-06,1.1978779125440488e-06,-4.2428427503954015e-06,2.741742087559399e-05,1.0258109590601467e-05
32,43241,7.215361641499385e-11,9.167042725496855e-06,1.0074003929347015e-05,5.2898221758343955e-06,1.6223321320999046e-08,-1.0687290577600824e-07,9.166467594182589e-08,-1.965077710465652e-07,-8.305157522209627e-07,-5.339873045063926e-09,-1.1721627616107395e-08
33,30146,8.061495915256955e-11,6.983635079763213e-07,-8.224456538441103e-06,-1.2802061984586386e-06,2.0518812299266864e-05,1.2926750350002148e-06,1.2601323670587098e-06,-2.895041206424422e-06,-3.0415850821283154e-06,9.654636896538939e-06,-8.643329320143482e-06
34,33355,7.381706357278972e-11,-5.005060825035645e-06,7.5818201132527135e-06,1.423616237951227e-06,2.551740017901251e-06,-9.30956639733303e-06,-1.5384006019986363e-05,4.151242365348809e-06,2.753305649085292e-06,-1.7303424806059175e-06,1.7505254494067763e-05
35,31824,8.585765431945447e-11,7.0557558495040436e-06,1.0577062242770075e-06,1.8070761962747077e-06,1.6871712025838187e-05,8.042236455459227e-06,-1.3639548206103111e-05,2.5174385330576183e-06,1.2746532180018238e-06,5.695546815877201e-06,1.2236848097396686e-06
36,31066,9.808032164215774e-11,5.964478124503245e-06,1.3498393681855031e-05,-1.483484660360194e-06,9.102602301826281e-06,6.39438007879519e-06,8.35995976398524e-06,9.240089687464244e-06,-1.0016069732100448e-05,4.689496169626709e-06,-2.6711250241610407e-06
37,37432,3.228883826977835e-11,7.0006697362482654e-06,-4.417707335544434e-08,-3.499227589459402e-06,-1.0200114391036053e-06,-4.257894673465031e-06,3.718331587114882e-06,2.937214983053727e-06,1.4958316727477685e-07,-3.0280612513411734e-06,5.450134392925129e-06
38,29119,3.975419993196283e-11,4.335850756896561e-06,-6.822256571179084e-06,-1.705068662701489e-06,2.476188549647122e-06,9.575990093282097e-06,2.2113442719214915e-06,8.919708136900686e-06,1.8928137859989774e-06,-5.567565378785892e-06,1.9447096505578905e-06
39,29670,8.32908186865211e-11,-4.446431363132047e-06,-1.9935382369771354e-06,3.435918784845243e-06,-4.06784551973831e-06,-1.8147690933526295e-06,1.903952941903449e-05,1.641174970183372e-05,-1.2140702045454359e-05,1.0419507352273359e-05,7.87910619409609e-06
40,44297,6.6525673858564e-11,-6.5306452923274055e-06,1.3421012153696997e-05,-2.5801422386325197e-07,9.077864132415763e-07,-6.749587918582191e-09,-5.23036188628327e-09,-2.02029327844458e-08,-2.934978701535914e-08,4.445961867456143e-08,-8.108447696863802e-09
41,29509,9.001399625674367e-11,-3.887022612451652e-06,9.546883763847212e-07,1.3707612918106757e-06,-1.4733850808814368e-05,-3.5898998318332145e-06,2.142973267416936e-06,-2.237077505232788e-06,2.7292590347958207e-05,-1.0217981341213803e-05,-1.5536621248702962e-06
42,38278,7.850231575901034e-11,3.165720738035227e-06,-1.6690361321638897e-05,4.305769456417219e-06,4.209879032921147e-07,-2.4203837393863505e-06,-7.512631555573138e-07,2.6184773055727905e-08,-6.417559691475126e-07,2.315853198243906e-08,1.3957295605214284e-08
43,33571,6.25630658390719e-11,-3.453397139480839e-06,-1.204404363541283e-06,-3.6312436863158666e-06,-1.1130897637219185e-05,-1.0920186341619032e-05,1.2683006158017629e-05,-1.179811349285575e-05,-4.096208919239031e-06,-5.867639572397667e-06,1.804809080129286e-06
44,34297,8.788103578183382e-11,-1.1401812710274199e-05,-1.3310713788406954e-06,-5.995693757754698e-06,-1.207380895311556e-06,-1.266269211368564e-05,-3.552203008707998e-07,1.026783020296196e-06,9.488449722015094e-07,-5.364185401181939e-09,2.931459606166491e-07
45,32086,9.497425068616394e-11,4.049346304002838e-06,-1.1516037045006856e-05,1.3791553935817565e-05,2.821438841912697e-06,-2.497378282847182e-08,4.0623877597153236e-08,-1.7049395672442963e-05,-1.248205443038299e-07,1.1730694866511793e-07,6.313434263873578e-08
46,42335,4.4900194673402893e-11,-4.740780038431927e-06,4.059590443977683e-06,1.329999229760675e-05,6.274010607474606e-08,2.1002178231676732e-07,5.074729844103594e-08,3.515962709531957e-08,1.7922911386891476e-08,-1.703709488530975e-07,6.236363941499506e-08
47,31009,9.909306708522081e-11,3.5762098647907924e-06,1.7029044985418354e-06,-2.3183389586743933e-05,6.766908092854249e-07,1.214874584311045e-06,2.503928683289973e-06,-8.778588589000201e-07,-4.386051921768776e-06,1.796479814979195e-06,-1.3007216269852026e-06
48,34728,5.089628718479844e-11,4.668198477162329e-06,8.44282791966655e-06,-5.746564741391335e-06,7.323425788750203e-06,8.15271704096183e-06,1.7754338430371085e-06,-5.072401935525061e-06,-3.1432126838912906e-06,-7.152507022908081e-07,3.1781473243462224e-06
49,34089,7.393430312419014e-11,-2.8613780440756974e-06,-4.709316087672799e-06,-7.79642240140889e-06,1.689723827769621e-05,-1.3583838248239642e-06,1.3878263326963013e-05,-1.5044972383739372e-06,1.8012083222609506e-07,-2.871025644006934e-06,-5.41576131178995e-06
50,31490,7.588385475543191e-11,5.007971156064065e-06,4.063386007205869e-06,-1.6759648847819132e-05,-5.542039326239756e-06,2.424324666795448e-06,9.232542387212918e-06,4.4711304017946585e-07,3.3020141463471914e-06,1.0487628638514914e-06,1.0635010356137928e-07

Success,50/50,100.00%
Mean NF ,33947.28
Std NF ,4280.64
per sd ,12.61 %
