Run,NF,fb,xb1,xb2,xb3,xb4,xb5
1,9662,8.748202162678353e-11,6.51046585004425e-08,-4.880588948002566e-07,-3.263721341912597e-07,-1.4988419758937208e-07,2.6374976907951905e-07
2,9663,8.43769498715119e-11,-5.939358907932094e-07,7.01920107021183e-08,-2.0898144371639813e-07,-1.2454897338996287e-07,-9.17618750495434e-08
3,8887,7.94031507211912e-11,1.0420250057013339e-07,-5.56099543483622e-08,-1.5606994894226104e-07,-5.999663198819483e-07,-4.431244780129662e-08
4,9547,7.324985062950873e-11,2.7863655953192803e-07,-2.395427211371438e-07,-8.293213152043988e-08,1.813424051396584e-07,-4.4097075640794547e-07
5,8006,6.09787775829318e-11,1.2084191430799693e-07,6.707907855082413e-08,-5.35491774913814e-07,-1.5308990969686797e-08,-3.5731806582887684e-08

Success,5/5,100.00%
Mean NF ,9153.00
Std NF ,641.99
per sd ,7.01 %
