Run,NF,fb,xb1,xb2,xb3,xb4,xb5,xb6,xb7,xb8,xb9,xb10
18,20019,7.904077392595354e-11,-2.688867180361699e-07,2.560555521488057e-08,2.6670219020597494e-07,1.2967691826430755e-08,-2.1167765853864705e-07,-6.990056919454445e-08,-3.49500390858686e-07,9.01369133409872e-08,2.5907025415319573e-07,-8.441120092205144e-08
19,20169,9.384848453919403e-11,-6.752450716235028e-08,1.426743777099928e-07,-1.755986008702062e-07,-1.9454498598943197e-07,-2.3196155371927263e-07,-4.881434661396375e-09,-3.0586350091944215e-08,-2.6412726573829123e-07,-2.1143785336982728e-07,4.584781044387039e-07
20,19883,8.125766726152506e-11,-1.6372138445811293e-07,-4.2714440699044054e-07,-5.692990067181166e-08,2.8489354344158786e-07,5.5256144253325474e-08,2.8696935032610118e-08,1.489281003637703e-07,4.3551600664067395e-08,1.317589386655735e-07,-2.6580908204090177e-07
21,20175,8.925837846618379e-11,9.757746640497927e-08,3.1654541932771574e-07,-4.117642721985135e-07,-1.579294109282132e-07,-7.298679624297833e-08,-9.419343887207548e-09,2.993778118527418e-07,1.362758633945816e-07,-1.0099274380846992e-07,-1.4798264128837327e-07
22,19041,7.753442332614213e-11,2.50298710088753e-07,-9.626106990779346e-08,-4.800615728944075e-07,6.32514575309372e-08,1.3576088588758563e-08,1.5726828182206675e-07,-1.7299817549440902e-08,-1.6639839378979184e-07,1.7263092992107457e-07,4.135769193057078e-08
23,20730,7.494804776797537e-11,-2.007202620231945e-07,2.8736658303669793e-08,-1.5364897383352127e-07,2.656082244374364e-07,-7.630841083957923e-08,-1.331175100012878e-07,-3.887077181528541e-07,-2.8931081025088943e-08,9.493099388014125e-08,2.4066901244708433e-07
24,20056,9.097789188672323e-11,2.707798006645503e-07,3.3391595929931875e-08,-3.1830823552015224e-07,-3.783592703873147e-07,-1.1535687064994587e-07,1.92559583308179e-07,-1.8495899939071105e-07,-2.1771605465704118e-07,-6.910727490525077e-08,-5.3811589884332596e-08
25,19546,8.026290743146092e-11,1.6907973783026919e-09,-3.751358255491377e-08,-1.0701168862204245e-07,5.885676380716526e-08,1.3609135036725074e-07,5.3649921976170464e-08,-3.7712165168353646e-07,-2.384419211871135e-07,3.9794893078250113e-07,-9.674716496046923e-08
26,20328,7.977973837114405e-11,2.264941249151439e-08,2.656400471423238e-07,-1.4695544163225305e-07,1.163626031339043e-07,-3.1241871312761555e-07,-2.7963094609374517e-07,-2.5966651684917775e-07,1.7812485698496792e-07,1.30583765478995e-07,6.30831088222461e-08
27,20206,8.762413017393555e-11,2.2050672076694775e-08,7.370531865139666e-09,7.180219898958154e-08,2.988478739945555e-08,-2.474386373791453e-07,1.3915049741728734e-08,2.067170170762676e-07,-3.2617440628204144e-07,4.0930561283123003e-07,2.3881398108259635e-07
28,19562,9.677592061052565e-11,5.806450860875599e-08,2.412160977809591e-07,9.500701356733264e-08,-9.086342905642933e-08,-1.773669733765565e-07,-1.2464830282152521e-07,-1.7680101502319997e-07,2.033172575022546e-07,-4.6890368562618456e-07,-2.636504355571937e-07
29,19599,6.66773303237278e-11,6.34389915403222e-08,3.505422599904231e-07,4.5704683125589985e-08,-2.3207181631457028e-07,-8.77373715384745e-08,-2.7861258959904086e-07,-2.4060347485771634e-07,-3.858921125404575e-08,-9.230011174401972e-08,-4.622938831612568e-09
30,19451,9.839595804805867e-11,1.3760422486849852e-07,-4.769692515038842e-08,9.786687309724252e-08,1.6860431537313524e-07,1.0262428704806106e-07,2.5307071635602217e-08,5.244557116217085e-07,-2.465045812678032e-07,-1.7578859985475626e-07,2.4283720050937806e-07

Success,30/30,100.00%
Mean NF ,19733.23
Std NF ,559.99
per sd ,2.84 %
