Run,NF,fb,xb1,xb2,xb3,xb4,xb5,xb6,xb7,xb8,xb9,xb10
1,19973,8.283507213491248e-11,1.1890270796521891e-07,-1.226645634694522e-07,-5.695648275114699e-08,3.318669193104195e-08,2.6772110710476936e-07,2.0218931852864507e-07,-1.280286857575802e-07,3.367838024379678e-07,3.612417978314873e-07,-1.0534551570755154e-07
2,20066,7.523226486227941e-11,-8.173318280793035e-08,2.6611683364925187e-07,3.065180168225486e-08,1.1272855125933233e-07,-6.394027844468501e-09,-2.444871246646767e-07,3.2740147851047393e-07,9.796818618596546e-08,-1.3470852031948913e-08,3.3360921185342575e-07
3,18357,6.374989425239619e-11,2.521861449809521e-07,-1.2916751886431796e-07,-2.6466683461916907e-07,-1.4117506280295897e-07,-1.0675684490582955e-07,-1.7479650626834097e-07,-9.276482424313061e-08,2.506980702880395e-07,1.717741575829475e-07,-9.029402049074317e-08
4,19595,9.701750514068408e-11,6.69659833137902e-08,2.478214687926618e-08,1.4329199643742703e-07,-5.236248046850486e-07,3.687823998906423e-07,-1.1570237970257684e-07,-1.3467556900362107e-07,-1.0012567458016824e-07,1.0729106236970748e-07,1.1910802102624186e-08
5,19958,5.711342510039685e-11,-1.1692833296728003e-07,2.3533509035944014e-07,2.9991101112347835e-07,-7.362215095723546e-08,-1.2921513279385327e-07,-1.4442404343935675e-07,-1.5630638461286049e-07,-2.1277931853329808e-07,1.2681988273598938e-08,-1.2669378494630557e-07
6,20045,9.625011898606317e-11,-1.0844382271900364e-07,-1.2011093446956612e-07,-1.8397126105351395e-07,2.7231308420848345e-07,1.7737924734713796e-07,-8.887292595578356e-08,3.3874926021112296e-08,-1.3023678666059424e-07,4.951615191489452e-07,2.1982850600555364e-07
7,19804,8.778044957580278e-11,2.4681599252976194e-07,2.734652788020316e-07,2.2706905832687346e-07,-2.6362452698744494e-07,-3.2196663048395574e-07,-2.1529444987725335e-08,-3.5045226024265515e-08,-2.7027032351640116e-07,-8.565470806614026e-08,-4.650603465793048e-09
8,20009,9.455902727495413e-11,-2.5720892437175855e-07,-3.8146901757459763e-07,-9.983478113332494e-08,3.2587338154411546e-08,-1.0185904792552587e-07,-7.70038515817659e-08,1.4443755530309572e-07,-4.216663817880669e-08,-4.6263597033234975e-07,-3.079083156571218e-08
9,20416,6.679101716144942e-11,-8.115997548252882e-08,1.1748801452183929e-07,7.075323082358406e-08,2.5635586537618505e-07,8.95250946015407e-08,-4.640951709678524e-08,-3.2484418496059897e-07,-1.32216767773767e-07,4.127703593599867e-08,3.3268941987095263e-07
10,19590,5.03774799653911e-11,-2.0761508021321582e-07,-1.5041746701588225e-07,-5.407002723926394e-08,1.1926867640140007e-07,-2.2722684425961495e-07,2.535481230425138e-07,-1.344861289004835e-08,-6.856616691888066e-08,-1.586465575527462e-08,-2.2338780570213832e-07
11,19946,8.122924555209465e-11,2.039855591351934e-07,-2.13390351241682e-09,-4.025157799850311e-07,-1.6217917131409871e-07,3.2529473494074623e-07,-7.896698832972404e-08,-7.0591551638304825e-09,1.5417790722914285e-07,2.0216219015268074e-07,5.2127171321029946e-08
12,20184,7.145217750803567e-11,-3.829484721421652e-07,-1.0979271968756623e-07,2.783414114735863e-08,2.6764822408893354e-08,-3.21528564999365e-07,1.500124600271862e-07,-3.226752464145779e-08,2.689742475211561e-07,2.6729133622964258e-08,6.425571886718942e-09
13,19775,7.217693109851098e-11,1.151413823888087e-07,1.496898461785572e-07,3.428437665705729e-07,-1.0469162623366733e-07,3.129487743941239e-08,1.3599414796721416e-07,-3.928986086631484e-07,1.5502737525431554e-07,1.1169083420842876e-09,4.154999888302218e-08
14,18474,9.559641966916388e-11,5.078059898193071e-08,1.5023732461514583e-07,-7.810124789052567e-08,-2.4256298267587034e-07,2.4942606758432505e-07,-9.603439748476723e-08,1.3017956675237334e-07,5.359413840071526e-07,7.366077509349276e-08,1.0333958924902818e-07
15,18835,8.607514700997854e-11,-1.239758730663421e-07,-3.096960491076917e-08,-1.5160991230877328e-07,4.384472095533565e-08,1.912804531512228e-07,-5.961137279842087e-09,-3.599162324155591e-07,-3.3451711511533776e-08,4.409062379742746e-07,1.7580794676463083e-07
16,19531,7.430855930579128e-11,4.4720825029925774e-07,1.788510788181602e-07,2.492103627132499e-07,1.817410720791896e-07,-9.665716920499744e-08,1.2073144530936504e-07,6.069107235773091e-08,-4.890649596823931e-08,3.1228787628596904e-08,-1.2833483468805452e-07
17,18674,9.724487881612731e-11,3.3170998620186214e-07,2.5486183673254208e-08,3.036810681239068e-07,4.919470057203606e-08,2.611013866648568e-07,-2.7283977594507376e-07,-2.2662741706336567e-07,2.4723685637676546e-07,-7.800587650424747e-08,-1.5389909169133432e-07
