Algorithm,Function,Dimension,Success_Rate,Mean_NF_SuccessOnly,%SD_SuccessOnly,Best_Fit_Overall_Mean
M4_new,Six-Hump_Camel,2,100/100,32516.61,10.970703241468815,4.8041981504098886e-11
M4_new,Himmelblau,2,2/100,37009.5,9.837724952591993,1.6253963436934312e-08
M4_new,Himmelblau_MD1,2,1/100,39581.0,0.0,4.8134474183967164e-08
M4_new,Himmelblau_MD2,4,0/100,,,1.404271872605831e-06
M4_new,Himmelblau_MD3,4,0/100,,,2.7945022377498588e-05
M4_new,MD4,2,100/100,1932.9,46.83863651294347,2.9857240889517096e-11
