Run,NF,fb,xb1,xb2
1,4190,9.44276785663073e-11,2.9999995329161186,2.000002545265638
2,4202,3.7925726379927235e-11,3.0000010297388404,1.9999999327735773
3,5236,4.072904018814226e-11,2.9999992573941334,1.999999259371992
4,4600,5.0510077046333476e-11,3.5844289103817055,-1.8481251447543658
5,3347,6.189275286545844e-11,2.9999994474441762,1.9999985695036633
6,4383,7.284276170646339e-11,2.999999074908603,1.999998895419875
7,3529,6.19126480726512e-11,3.000001330769731,1.9999998498768505
8,2311,9.931702420530505e-11,3.5844272399850707,-1.8481246804311113
9,4474,2.8774840979222894e-11,3.5844290513902064,-1.8481271245496962
10,3185,9.775553797160235e-12,2.9999996428321,1.9999996256980828
11,3286,6.500030552618668e-11,2.999998670209515,2.0000015481831546
12,3324,4.0152443416099636e-11,3.5844285506312676,-1.8481281839212962
13,4072,8.692322858893397e-11,3.000001370817047,1.9999979000130361
14,2907,7.379488385516213e-12,3.5844279710855966,-1.8481262853789968
15,4340,4.7515538052084504e-11,2.9999989115392913,2.000001431732832
16,4317,6.100238676581708e-11,2.9999988420292123,1.9999996162961908
17,2455,6.801234890494396e-11,3.0000011428350013,1.999998058874694
18,3345,5.3988826584648116e-11,2.999999896036865,1.9999982846324436
19,2448,2.4931929869910875e-12,2.9999998171916826,2.0000003999155664
20,2986,2.4240592072352756e-11,2.999999508981703,2.0000012811027887
21,4871,4.4926721238441094e-11,2.9999988935834456,2.000000016806289
22,2646,2.220168368147497e-11,3.0000000410570977,2.0000011172931003
23,3823,2.2969583021881817e-12,3.0000002716588674,1.9999998457375532
24,4605,3.184917903757468e-11,3.584428187999363,-1.8481279367656263
25,3795,2.657092002801526e-11,3.5844280552696373,-1.8481276949217085
26,2784,1.6439034013872654e-11,3.0000005531230016,2.0000003125871135
27,6191,3.1792941086120196e-11,2.9999990190416317,2.000000247231927
28,2748,6.037530221270155e-11,3.5844290320290884,-1.8481282512136634
29,3734,9.97422991724129e-11,2.9999998093078775,2.0000025206205354
30,3286,6.86616213109955e-11,3.5844291254605807,-1.8481282987165821
31,3716,9.306998366514732e-11,2.9999989772961966,1.9999987147419542
32,3277,1.461275830272156e-11,3.0000006676717113,1.9999998160240613
33,2765,3.485307430850269e-11,3.000000405961844,1.999998438884588
34,2639,4.6464736252433216e-11,2.99999885120869,2.000000112255477
35,4553,3.118837457586905e-11,3.0000007459385882,1.9999986578277722
36,3961,6.843062767173211e-11,3.5844286626426207,-1.8481286773616359
37,3305,3.656861724096714e-11,3.0000001614398513,2.0000013553412885
38,4250,8.184538414800434e-11,2.999999536890245,2.0000023752371856
39,2069,7.972955854969286e-11,3.0000009503477045,1.9999976983336052
40,4654,3.611321252145818e-11,3.584427503682355,-1.8481263610176324
41,5276,5.267374102583406e-11,3.0000002734811715,1.9999981182116808
42,3362,5.6886018746561204e-11,2.999998654092867,2.0000009661806755
43,2912,4.2858963678971635e-11,2.9999994258529576,2.000001722549447
44,6931,5.7801515092290285e-11,3.5844283539909862,-1.848124544869227
45,2567,3.528767096097461e-11,3.0000006718181185,1.9999984869612704
46,4067,3.45327355979297e-11,3.584428122020865,-1.8481279543073124
47,3307,4.3638919585539274e-11,3.0000003447341146,2.000001330010203
48,3561,1.0758123550766465e-11,2.999999471018653,2.000000658486654
49,2770,4.170700326407982e-11,2.9999988463828773,2.000000810248877
50,2914,1.5050080654500619e-12,2.9999998791798705,2.000000319686583

Success,50/50,100.00%
Mean NF ,3685.52
Std NF ,978.51
per sd ,26.55 %
