Run,NF,fb,xb1,xb2,xb3,xb4,xb5,xb6,xb7,xb8,xb9,xb10
1,400000,2.9848771712798623,1.9170261311817767e-09,6.534181695771332e-10,-3.6146546304906234e-09,3.6176117193775248e-09,-0.99495863866272,-0.9949586348854509,5.4441694203916185e-09,-3.4617409696588327e-09,3.305921005026662e-09,-0.9949586371357583
2,400000,2.9848771712798907,0.9949586397656655,1.2344850557255064e-09,-9.476035198154364e-10,4.9420710859833005e-09,4.06493165800815e-09,-5.654517450360202e-10,-3.853442752220619e-09,-0.9949586383637845,0.994958635622724,-1.1826472133020244e-09
3,400000,0.9949590570932969,1.7268519794290868e-09,1.4313699425897403e-09,-2.614788244669524e-09,-3.978497748805453e-09,-3.171233993229008e-09,4.7405048308638526e-09,3.949276268305947e-09,-2.020869830509232e-09,-4.092424745915828e-09,0.9949586374847994
4,400000,0.1512583597953494,-1.4356175835203947e-09,-1.03291222155222e-09,1.3174158763361793e-09,-0.027646548997171005,3.5761990225880516e-09,2.6788380743786997e-09,3.2712347730133967e-09,-2.1029320242077207e-09,4.100772564033024e-09,2.355967245404729e-09
5,400000,0.9949590570932969,7.916966168466664e-10,1.565331351245037e-10,-5.216149517541923e-09,6.138157843612464e-10,3.0122802929252387e-09,-2.6673297251847513e-09,3.018916130282181e-10,2.6147384092031816e-09,-0.994958636097338,5.183716830184678e-09
6,400000,2.9848771712798623,-0.994958636766222,-1.416528935303329e-09,-2.893800500813994e-09,-0.9949586412702591,0.9949586379964368,-4.789623616113803e-10,-6.912009623809362e-10,5.395179828172126e-09,5.2877335918830704e-09,-6.1738606508958505e-09
7,52854,8.431300102529349e-11,-1.8359896405141117e-07,-2.7504035895223776e-07,-4.001660850943057e-07,-1.0496135989695915e-07,1.6885441372005898e-07,1.719919166173389e-07,1.047509037375336e-07,2.474006642884211e-08,-2.6362629606672396e-07,-7.33475311742289e-08
8,400000,1.0136563394613347,-1.9876805605135236e-09,6.148349528186787e-10,-2.4924928088753527e-09,0.009709437695577972,-3.1297991406475033e-09,-2.6270449005860967e-09,-2.8612024899152385e-10,6.182217899661367e-10,-4.90012415234919e-09,0.9949586342593046
9,400000,0.9949590570932969,4.569311144348979e-09,1.556858495420144e-09,-4.656122960523711e-09,0.9949586376908535,-3.571215357944499e-09,2.521808817864645e-10,2.8916430972808546e-09,-2.086220708912794e-09,-4.710031146233319e-09,-5.48526783673323e-09
10,400000,1.9899181141865938,-8.888469315764322e-10,0.9949586387105785,-8.47751761394154e-10,1.59144167295326e-09,4.259569643921915e-09,-2.4465402914766667e-09,-4.252339478338865e-09,2.1208725896891795e-09,-0.9949586357327636,-3.208855475600055e-09

Success,1/10,10.00%
Mean NF ,52854.00
Std NF ,0.00
per sd ,0.00 %
