Algorithm,Function,Dimension,Success_Rate,Mean_NF_SuccessOnly,%SD_SuccessOnly,Best_Fit_Overall_Mean
M9_new,Six-Hump_Camel,2,100/100,2616.98,24.684151081616758,4.564504552106996e-11
M9_new,Himmelblau,2,100/100,3696.07,30.79402392761007,4.974240098930089e-11
M9_new,Himmelblau_MD1,2,99/100,3103.181818181818,17.103164974094838,0.0015139093869639276
M9_new,Himmelblau_MD2,4,100/100,9375.05,27.118417216625957,6.797726431043624e-11
M9_new,Himmelblau_MD3,4,90/100,8195.866666666667,17.171665578996777,0.0151390934834364
M9_new,MD4,2,100/100,1119.82,24.109669383470145,3.231076615315156e-11
