Algorithm,Function,Dimension,Success_Rate,Mean_NF_SuccessOnly,%SD_SuccessOnly,Best_Fit_Overall_Mean
M11_new,Six-Hump_Camel,2,100/100,2650.65,23.494264818320623,4.481736315398166e-11
M11_new,Himmelblau,2,100/100,3711.71,23.091671682051363,4.994338666895325e-11
M11_new,Himmelblau_MD1,2,96/100,3144.6041666666665,12.749143853008269,0.00803857769790403
M11_new,Himmelblau_MD2,4,100/100,9684.79,24.69778776081206,7.089732588090006e-11
M11_new,Himmelblau_MD3,4,87/100,8904.091954022988,19.866151733655823,0.030640401306960392
M11_new,MD4,2,100/100,1184.98,22.021652646222517,2.9134061015857045e-11
