Algorithm,Function,Dimension,Success_Rate,Mean_NF_SuccessOnly,%SD_SuccessOnly,Best_Fit_Overall_Mean
M1_new,Six-Hump_Camel,2,100/100,2448.67,22.852814812548612,4.425071642444323e-11
M1_new,Himmelblau,2,100/100,3197.05,20.780158214412438,4.748148066829329e-11
M1_new,Himmelblau_MD1,2,98/100,2840.204081632653,12.204266092167448,0.0030278187364084956
M1_new,Himmelblau_MD2,4,100/100,8427.29,21.268874491525672,6.84936119865817e-11
M1_new,Himmelblau_MD3,4,75/100,7826.666666666667,16.48164937097367,0.04588631125147824
M1_new,MD4,2,100/100,1170.8,25.34223685389162,2.9149017518130354e-11
